"","Time.or","Time.Time.47.618418..122.350964","Time.Time.47.615829..122.348564","Time.Time.47.616094..122.341102","Time.Time.47.61311..122.344208","Time.Time.47.610731..122.332447","Time.Time.47.609221..122.335596","Time.Time.47.604058..122.3358","Time.Time.47.60595..122.335768","Time.Time.47.603509..122.330409","Time.Time.47.610185..122.339641","Time.Time.47.602103..122.316923","Time.Time.47.618633..122.325249","Time.Time.47.622063..122.321251","Time.Time.47.623367..122.325279","Time.Time.47.620712..122.312805","Time.Time.47.618549..122.317017","Time.Time.47.61533..122.311752","Time.Time.47.615486..122.318245","Time.Time.47.615517..122.322083","Time.Time.47.615456..122.326729","Time.Time.47.624142..122.316811","Time.Time.47.624298..122.339617","Time.Time.47.663509..122.284119","Time.Time.47.627643..122.332576","Time.Time.47.634831..122.326634","Time.Time.47.64909..122.322983","Time.Time.47.607281..122.324783","Time.Time.47.609239..122.316651","Time.Time.47.598488..122.326412","Time.Time.47.600757..122.332946","Time.Time.47.598994..122.329684","Time.Time.47.619859..122.330304","Time.Time.47.627735..122.342232","Time.Time.47.623165..122.338203","Time.Time.47.61832..122.338913","Time.Time.47.613628..122.337341","Time.Time.47.613715..122.331777","Time.Time.47.626041..122.335831","Time.Time.47.618285..122.342205","Time.Time.47.622277..122.35523","Time.Time.47.61626..122.333815","Time.Time.47.624769..122.339408","Time.Time.47.666145..122.301491","Time.Time.47.658288..122.313334","Time.Time.47.656395..122.31562","Time.Time.47.663143..122.315086","Time.Time.47.660268..122.304826","Time.Time.47.659756..122.310402","Time.Time.47.65559..122.31189","Time.Time.47.654613..122.304863","Time.Time.47.653713..122.302162","Time.Time.47.650725..122.311188","Time.Time.47.614315..122.354093","Time.Time.47.607702..122.34165","Time.Time.47.61863956..122.3207769","Time.Time.47.62087853..122.3473769","Time.Time.47.64995155..122.3062634","Time.Time.47.61137028..122.3487015","Distance.or","Distance.Distance.47.618418..122.350964","Distance.Distance.47.615829..122.348564","Distance.Distance.47.616094..122.341102","Distance.Distance.47.61311..122.344208","Distance.Distance.47.610731..122.332447","Distance.Distance.47.609221..122.335596","Distance.Distance.47.604058..122.3358","Distance.Distance.47.60595..122.335768","Distance.Distance.47.603509..122.330409","Distance.Distance.47.610185..122.339641","Distance.Distance.47.602103..122.316923","Distance.Distance.47.618633..122.325249","Distance.Distance.47.622063..122.321251","Distance.Distance.47.623367..122.325279","Distance.Distance.47.620712..122.312805","Distance.Distance.47.618549..122.317017","Distance.Distance.47.61533..122.311752","Distance.Distance.47.615486..122.318245","Distance.Distance.47.615517..122.322083","Distance.Distance.47.615456..122.326729","Distance.Distance.47.624142..122.316811","Distance.Distance.47.624298..122.339617","Distance.Distance.47.663509..122.284119","Distance.Distance.47.627643..122.332576","Distance.Distance.47.634831..122.326634","Distance.Distance.47.64909..122.322983","Distance.Distance.47.607281..122.324783","Distance.Distance.47.609239..122.316651","Distance.Distance.47.598488..122.326412","Distance.Distance.47.600757..122.332946","Distance.Distance.47.598994..122.329684","Distance.Distance.47.619859..122.330304","Distance.Distance.47.627735..122.342232","Distance.Distance.47.623165..122.338203","Distance.Distance.47.61832..122.338913","Distance.Distance.47.613628..122.337341","Distance.Distance.47.613715..122.331777","Distance.Distance.47.626041..122.335831","Distance.Distance.47.618285..122.342205","Distance.Distance.47.622277..122.35523","Distance.Distance.47.61626..122.333815","Distance.Distance.47.624769..122.339408","Distance.Distance.47.666145..122.301491","Distance.Distance.47.658288..122.313334","Distance.Distance.47.656395..122.31562","Distance.Distance.47.663143..122.315086","Distance.Distance.47.660268..122.304826","Distance.Distance.47.659756..122.310402","Distance.Distance.47.65559..122.31189","Distance.Distance.47.654613..122.304863","Distance.Distance.47.653713..122.302162","Distance.Distance.47.650725..122.311188","Distance.Distance.47.614315..122.354093","Distance.Distance.47.607702..122.34165","Distance.Distance.47.61863956..122.3207769","Distance.Distance.47.62087853..122.3473769","Distance.Distance.47.64995155..122.3062634","Distance.Distance.47.61137028..122.3487015","Status.or","Status.status.47.618418..122.350964","Status.status.47.615829..122.348564","Status.status.47.616094..122.341102","Status.status.47.61311..122.344208","Status.status.47.610731..122.332447","Status.status.47.609221..122.335596","Status.status.47.604058..122.3358","Status.status.47.60595..122.335768","Status.status.47.603509..122.330409","Status.status.47.610185..122.339641","Status.status.47.602103..122.316923","Status.status.47.618633..122.325249","Status.status.47.622063..122.321251","Status.status.47.623367..122.325279","Status.status.47.620712..122.312805","Status.status.47.618549..122.317017","Status.status.47.61533..122.311752","Status.status.47.615486..122.318245","Status.status.47.615517..122.322083","Status.status.47.615456..122.326729","Status.status.47.624142..122.316811","Status.status.47.624298..122.339617","Status.status.47.663509..122.284119","Status.status.47.627643..122.332576","Status.status.47.634831..122.326634","Status.status.47.64909..122.322983","Status.status.47.607281..122.324783","Status.status.47.609239..122.316651","Status.status.47.598488..122.326412","Status.status.47.600757..122.332946","Status.status.47.598994..122.329684","Status.status.47.619859..122.330304","Status.status.47.627735..122.342232","Status.status.47.623165..122.338203","Status.status.47.61832..122.338913","Status.status.47.613628..122.337341","Status.status.47.613715..122.331777","Status.status.47.626041..122.335831","Status.status.47.618285..122.342205","Status.status.47.622277..122.35523","Status.status.47.61626..122.333815","Status.status.47.624769..122.339408","Status.status.47.666145..122.301491","Status.status.47.658288..122.313334","Status.status.47.656395..122.31562","Status.status.47.663143..122.315086","Status.status.47.660268..122.304826","Status.status.47.659756..122.310402","Status.status.47.65559..122.31189","Status.status.47.654613..122.304863","Status.status.47.653713..122.302162","Status.status.47.650725..122.311188","Status.status.47.614315..122.354093","Status.status.47.607702..122.34165","Status.status.47.61863956..122.3207769","Status.status.47.62087853..122.3473769","Status.status.47.64995155..122.3062634","Status.status.47.61137028..122.3487015"
"1","47.618418+-122.350964",0,109,395,261,641,567,621,508,860,397,1312,1095,1383,1264,1535,1329,1439,1208,1105,933,1490,393,2657,592,901,1229,1065,1377,1009,794,849,655,490,414,297,533,745,564,262,284,536,488,2237,1973,1814,2216,2273,2227,1924,2070,2102,1877,249,500,1246,216,1983,328,"47.618418+-122.350964",0,422,1067,867,2066,1869,2168,1895,2594,1342,3631,3216,3947,3749,4375,3831,3849,3393,3103,2747,4454,1505,12144,2289,3297,4944,2986,4148,3097,2626,2794,2190,1689,1501,939,1420,2303,2204,723,910,1532,1709,10611,8543,7994,9215,9998,8990,8381,9136,9536,8465,773,1799,3548,613,8902,1108,"47.618418+-122.350964","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"2","47.615829+-122.348564",198,0,330,152,532,459,512,399,751,288,1203,986,1274,1155,1426,1221,1330,1099,997,824,1382,479,2743,677,986,1314,956,1268,901,685,740,694,518,443,326,434,636,649,261,360,613,505,2322,2058,1899,2302,2359,2312,2009,2155,2187,1962,291,435,1137,244,2068,262,"47.615829+-122.348564",422,0,838,445,1644,1447,1746,1473,2171,920,3208,2793,3524,3327,3953,3409,3427,2971,2680,2325,4032,1859,12499,2643,3651,5299,2564,3726,2674,2203,2371,2088,1658,1470,908,1190,1880,2558,769,1239,1808,1792,10966,8897,8349,9570,10353,9344,8735,9491,9891,8820,829,1378,3126,748,9256,687,"47.615829+-122.348564","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"3","47.616094+-122.341102",408,344,0,274,454,429,634,521,873,410,1189,798,1086,968,1238,1033,1142,911,809,636,1194,268,2532,466,775,1103,950,1080,1022,807,861,418,351,293,148,323,448,438,76,461,337,381,2111,1848,1688,2091,2148,2101,1798,1944,1976,1751,527,671,949,251,1857,499,"47.616094+-122.341102",1013,1023,0,648,1333,1262,1949,1676,2375,1123,3642,1928,2659,2461,3087,2543,2561,2105,1815,1459,3166,1067,11706,1851,2859,4506,2156,2860,2877,2407,2574,1276,1391,1064,504,999,1015,1766,452,1555,996,1287,10173,8105,7556,8777,9560,8552,7943,8698,9098,8028,1480,2030,2260,845,8464,1339,"47.616094+-122.341102","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"4","47.61311+-122.344208",301,230,296,0,380,306,360,247,599,136,1051,834,1122,1003,1274,1068,1178,947,845,672,1229,397,2661,596,921,1249,804,1116,748,533,588,542,543,422,278,354,484,568,248,465,461,510,2241,1977,1818,2220,2277,2231,1927,2074,2106,1881,393,308,985,434,1987,365,"47.61311+-122.344208",864,895,912,0,1199,1002,1301,1028,1726,475,2763,2348,3079,2882,3508,2964,2982,2526,2235,1880,3587,1455,12094,2238,3265,4912,2119,3281,2229,1758,1926,1643,1824,1451,891,908,1435,2153,768,1753,1363,1674,10561,8492,7944,9165,9948,8940,8330,9086,9486,8415,1343,1348,2681,1665,8851,1201,"47.61311+-122.344208","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"5","47.610731+-122.332447",596,557,274,462,0,106,333,220,531,277,791,531,819,700,971,765,875,643,541,369,926,481,2745,627,782,1200,501,813,722,506,561,515,626,506,362,184,180,652,332,735,305,594,2325,2061,1902,1844,2361,2315,2011,2158,2190,1965,669,465,682,525,2071,614,"47.610731+-122.332447",1922,1931,967,1557,0,292,1082,809,1311,755,2156,1387,2119,1921,2547,2003,2021,1565,1274,919,2626,1989,12628,2207,3109,4957,1158,2320,2010,1539,1707,1560,2358,1986,1426,575,474,2688,1303,2522,882,2209,11095,9027,8478,6728,10482,9474,8865,9620,10020,8949,2279,1673,1720,1812,9386,2369,"47.610731+-122.332447","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6","47.609221+-122.335596",494,455,324,361,188,0,228,115,425,174,919,642,931,812,1083,877,987,755,653,481,1038,531,2795,730,976,1312,613,924,616,401,455,596,676,556,412,234,292,702,382,710,394,644,2375,2111,1952,2354,2411,2365,2061,2208,2239,2015,566,360,793,482,2120,509,"47.609221+-122.335596",1649,1658,1086,1284,555,0,790,517,1019,482,2252,1704,2435,2238,2864,2320,2338,1882,1591,1236,2943,2107,12747,2891,3379,5274,1475,2637,1718,1247,1415,1758,2477,2104,1544,693,791,2806,1421,2525,1197,2327,11214,9145,8597,9818,10601,9592,8983,9739,10139,9068,2006,1381,2037,1780,9504,2077,"47.609221+-122.335596","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"7","47.604058+-122.3358",847,650,678,713,543,470,0,182,348,465,775,997,1383,1166,1437,1232,1341,1110,1008,835,1393,886,3150,1084,1226,1667,835,1014,481,205,320,930,1031,910,766,588,647,1056,736,885,749,999,2729,2465,2306,2709,2766,2719,2416,2562,2594,2369,523,198,1246,835,2475,347,"47.604058+-122.3358",2420,1959,1857,2056,1327,1129,0,276,621,831,1717,2476,3655,3009,3635,3091,3109,2654,2363,2008,3714,2879,13518,3663,4195,6046,1383,2526,1183,565,880,2588,3248,2876,2315,1465,1563,3578,2193,2816,1968,3099,11985,9917,9368,10589,11372,10364,9755,10510,10910,9839,2058,740,3257,2552,10276,1437,"47.604058+-122.3358","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"8","47.60595+-122.335768",662,465,493,528,358,284,113,0,352,279,804,812,1100,981,1252,1046,1156,925,822,650,1207,700,2964,899,1040,1482,608,887,501,286,340,745,846,725,581,403,462,871,551,700,563,813,2544,2280,2121,2523,2580,2534,2231,2377,2409,2184,569,245,963,649,2290,394,"47.60595+-122.335768",2143,1681,1580,1778,1049,852,273,0,698,553,1735,2198,2930,2732,3358,2814,2832,2376,2085,1730,3437,2601,13241,3385,3917,5768,1078,1740,1201,731,898,2311,2971,2598,2038,1187,1285,3300,1915,2538,1691,2821,11708,9639,9091,10312,11095,10087,9477,10233,10633,9562,2182,864,2531,2274,9998,1560,"47.60595+-122.335768","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"9","47.603509+-122.330409",796,757,625,662,490,334,245,288,0,476,684,944,1091,1113,1253,1048,1157,926,955,782,1216,833,3097,1031,1277,1614,551,824,356,191,260,898,978,857,713,535,594,1003,683,1012,696,946,2676,2412,2253,2656,2713,2666,2363,2509,2541,2316,742,417,954,784,2422,566,"47.603509+-122.330409",2390,2398,1826,2025,1296,765,555,638,0,1223,1334,2445,2599,2978,3027,2483,2501,2045,2332,1977,3111,2848,13487,3632,4120,6015,949,1611,962,497,652,2498,3217,2845,2285,1434,1532,3547,2162,3265,1937,3068,11954,9886,9337,10558,11341,10333,9724,10479,10879,9809,2618,1301,2200,2521,10245,1997,"47.603509+-122.330409","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"10","47.610185+-122.339641",548,307,379,414,244,171,225,112,463,0,915,698,986,868,1138,933,1042,811,709,536,1094,587,2851,786,927,1368,668,980,613,397,452,631,732,612,467,289,348,757,437,542,450,700,2430,2167,2007,2410,2467,2420,2117,2263,2295,2070,449,206,849,536,2176,347,"47.610185+-122.339641",1818,1126,1255,1453,724,527,826,553,1252,0,2289,1874,2605,2407,3033,2489,2507,2051,1761,1405,3112,2277,12916,3060,3593,5443,1644,2806,1755,1284,1452,1986,2646,2273,1713,862,961,2976,1591,1983,1366,2497,11383,9315,8766,9987,10770,9762,9153,9908,10308,9237,1554,865,2206,1949,9674,1558,"47.610185+-122.339641","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"11","47.602103+-122.316923",1251,1212,929,1117,744,756,590,699,525,933,0,698,711,784,729,539,633,477,570,619,699,1116,2419,1085,1324,1363,496,237,227,405,362,863,1282,1140,996,839,717,1286,994,1390,902,1096,1998,1887,1755,2043,1986,2125,1840,1809,1812,1886,1064,747,608,1181,1698,889,"47.602103+-122.316923",4523,4532,3568,4158,2094,2178,1638,1727,1710,3356,0,2513,2546,3036,2373,1829,1847,1585,1889,2235,2452,4256,10296,4227,5079,5700,1169,804,1111,1662,1555,3091,4959,4253,3693,3176,2628,4955,3694,5123,3187,4210,8763,7310,6912,7602,7923,8262,7174,7273,7569,7690,3642,2327,2138,4413,6901,3020,"47.602103+-122.316923","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"12","47.618633+-122.325249",778,739,456,644,390,470,684,571,881,459,641,0,270,169,485,385,596,325,198,146,395,642,2087,466,706,824,597,532,913,954,1025,244,808,374,523,366,243,451,521,917,308,477,1666,1311,1179,1467,1540,1600,1265,1581,1585,1310,851,697,237,707,1470,823,"47.618633+-122.325249",2808,2817,1853,2443,1384,1689,2468,2195,2682,1642,2677,0,659,533,1194,1117,1432,1063,581,521,1170,2542,9320,1780,2688,3800,2020,1895,3720,3483,3617,644,3244,1498,1978,1461,913,1690,1979,3408,763,1763,7787,5279,4881,5571,6248,5868,5143,6142,6438,5659,3165,2836,541,2699,5770,3024,"47.618633+-122.325249","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"13","47.622063+-122.321251",914,875,592,780,526,607,821,708,789,596,530,141,0,68,303,204,444,202,209,282,182,527,1982,524,601,719,505,421,757,862,933,302,706,433,659,502,380,509,657,1054,367,535,1561,1252,1119,1407,1480,1540,1205,1372,1376,1250,988,834,146,844,1261,959,"47.622063+-122.321251",3539,3548,2585,3175,2115,2420,3199,2926,2539,2373,2546,606,0,456,792,717,1472,952,845,1252,577,2393,8558,2439,2544,3656,1877,1763,3662,3340,3474,1303,3013,2157,2709,2192,1644,2350,2710,4139,1422,2422,7025,4899,4502,5191,5869,5489,4764,5535,5831,5279,3896,3567,398,3430,5163,3755,"47.622063+-122.321251","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"14","47.623367+-122.325279",916,877,595,782,528,609,823,710,955,598,702,152,166,0,476,376,617,375,373,247,316,656,1917,654,536,654,671,593,929,1028,1099,295,864,562,536,505,382,639,534,1056,360,665,1497,1142,1010,1298,1370,1431,1095,1265,1362,1141,990,836,312,846,1243,961,"47.623367+-122.325279",3292,3301,2337,2927,1867,2173,2951,2678,2995,2125,3036,533,456,0,1284,1207,1964,1444,1225,915,762,2452,8787,2493,2155,3267,2333,2254,4153,3796,3930,1171,3032,2216,2142,1944,1397,2404,2143,3892,1290,2476,7254,4745,4348,5038,5715,5335,4610,5397,6179,5125,3649,3320,854,3182,5544,3507,"47.623367+-122.325279","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
